year,state,final co2 (kg),generation (mwh),index,indexlb
2021,AK,2690471795.2549996,5867437.78,458.54287614703935,1010.903624753763
2021,AL,48530158071.419426,142931075.94,339.5353862150422,748.539712449682
2021,AR,29929586068.113678,60361016.62,495.8429752191553,1093.1354231681498
2021,AZ,38643118595.93936,112601174.13,343.1857517873234,756.5873083903332
2021,CA,41096965319.5264,218585139.52,188.01353746998947,414.4946447063388
2021,CO,31278575925.371162,57739940.260000005,541.7147261414773,1194.264285251501
2021,CT,10445122847.938635,44861798.23,232.8288936254403,513.2945788866457
2021,DE,1547147099.8312032,4166311.5099999993,371.34695668284377,818.6715007029974
2021,FL,92477079132.44818,246016087.52000007,375.89850348681034,828.7058407870221
2021,GA,43284387325.99299,126348406.17999999,342.57960693488025,755.251001448637
2021,HI,6363097782.345,10246943.599999998,620.9751932610424,1369.001911063294
2021,IA,23492341602.688587,66312292.44000001,354.2682772420314,781.0198440077825
2021,ID,1840349950.3142574,17033247.75,108.04457126000867,238.1950617998151
2021,IL,56169453953.0377,182745127.28,307.36498854481357,677.616853745896
2021,IN,69078098927.78487,94736682.47,729.1589395655652,1607.5037981662451
2021,KS,21424370943.942974,56765338.120000005,377.41994769153985,832.0600166807687
2021,KY,55182279362.03317,70598793.46000001,781.6320457841599,1723.186008135759
2021,LA,36039978056.97714,98324076.81000002,366.5427556123436,808.0801590229728
2021,MA,7417671512.878674,21786765.92,340.4668476319992,750.5932122895055
2021,MD,12643330920.166023,40742545.86000001,310.3225547959418,684.1371043031334
2021,ME,1287911685.414643,11072409.92,116.31719695351046,256.43289240370916
2021,MI,52232948303.11605,116233454.97999999,449.3796412754284,990.7023571558095
2021,MN,21717990904.23017,59791646.17,363.22784695509864,800.7721113972106
2021,MO,57381702052.25567,78237002.67,733.434309776526,1616.9292793333293
2021,MS,26003987898.54591,68717185.6,378.4204441944711,834.265711271131
2021,MT,11366354677.326529,24493939.659999996,464.04763117337285,1023.0394076848179
2021,NC,39129905457.10504,131705786.52000001,297.1008828922108,654.988606424168
2021,ND,26670022529.781822,42703525.56999999,624.5391258401859,1376.858956827274
2021,NE,19720934884.991024,38599660.71,510.9095396758741,1126.351171169432
2021,NH,2195952032.4512587,17621002.869999997,124.62128566983537,274.7400863877191
2021,NJ,13606267655.005949,64052323.059999995,212.4242651162003,468.3105348751752
2021,NM,17954856943.07486,35551998.800000004,505.03087165593786,1113.3910596526807
2021,NV,13622148093.595755,43119865.39,315.91351156571307,696.4629275977711
2021,NY,27371116839.492645,127908265.28999999,213.99021226216684,471.76282195317305
2021,OH,68285479178.258,123493023.42,552.9500961849396,1219.033782049318
2021,OK,27469083037.693947,80611445.53,340.7590926709182,751.2374957023063
2021,OR,8494601431.178171,61385612.4,138.38098373647847,305.07471674544047
2021,PA,79253817679.92491,242280186.46,327.1163805753863,721.1607726164967
2021,RI,3193580771.7011504,8406030.8,379.915425922678,837.561547989136
2021,SC,25170131440.98152,100287569.92999999,250.97957262849317,553.3095658167761
2021,SD,2413110543.9994283,17766241.459999997,135.82560776472914,299.4411348781219
2021,TN,24786446201.821426,81520552.24,304.05150015236734,670.3119372359091
2021,TX,187552845865.93326,485776771.1,386.08854318257306,851.1708023003006
2021,UT,29562969722.143734,43310687.559999995,682.5790904655806,1504.8138628404192
2021,VA,25978341270.06553,94604496.53,274.59943473011924,605.3819138060209
2021,VT,944527.4533046795,2330902.4899999998,0.40521963374996417,0.893347204565171
2021,WA,9780201502.579603,109423739.94,89.3791558206871,197.0452869222868
2021,WI,36907207628.775375,65643767.64000001,562.2347551892494,1239.5027412902193
2021,WV,57879053852.35606,65646255.15,881.6809690073549,1943.7538642736147
2021,WY,35825589136.607895,43668476.54000001,820.399335520485,1808.6523750884614
